No type,No type,"9,14",https://coinmarketcap.com/currencies/kucoin-token/
No type,No type,"0,00",https://coinmarketcap.com/currencies/ecash/
No type,No type,"0,00",https://coinmarketcap.com/currencies/bittorrent-new/
No type,No type,"0,29",https://coinmarketcap.com/currencies/iota/
No type,No type,"4,73",https://coinmarketcap.com/currencies/huobi-token/
No type,No type,"1,00",https://coinmarketcap.com/currencies/usdd/
No type,No type,"739,98",https://coinmarketcap.com/currencies/maker/
No type,No type,"0,10",https://coinmarketcap.com/currencies/the-graph/
No type,No type,"2,91",https://coinmarketcap.com/currencies/synthetix/
No type,No type,"0,23",https://coinmarketcap.com/currencies/klaytn/
No type,No type,"0,27",https://coinmarketcap.com/currencies/fantom/
No type,No type,"9,09",https://coinmarketcap.com/currencies/neo/
No type,No type,"0,92",https://coinmarketcap.com/currencies/neutrino-usd/
No type,No type,"1,89",https://coinmarketcap.com/currencies/thorchain/
No type,No type,"1,95",https://coinmarketcap.com/currencies/lido-dao/
No type,No type,"1,03",https://coinmarketcap.com/currencies/nexo/
No type,No type,"4,02",https://coinmarketcap.com/currencies/pancakeswap/
No type,No type,"1,05",https://coinmarketcap.com/currencies/curve-dao-token/
No type,No type,"1703,37",https://coinmarketcap.com/currencies/pax-gold/
No type,No type,"0,52",https://coinmarketcap.com/currencies/enjin-coin/
No type,No type,"4,11",https://coinmarketcap.com/currencies/helium/
No type,No type,"46,17",https://coinmarketcap.com/currencies/dash/
No type,No type,"0,33",https://coinmarketcap.com/currencies/basic-attention-token/
No type,No type,"4,54",https://coinmarketcap.com/currencies/waves/
No type,No type,"0,36",https://coinmarketcap.com/currencies/stacks/
No type,No type,"0,04",https://coinmarketcap.com/currencies/zilliqa/
No type,No type,"0,35",https://coinmarketcap.com/currencies/loopring/
No type,No type,"0,67",https://coinmarketcap.com/currencies/mina/
No type,No type,"30,23",https://coinmarketcap.com/currencies/decred/
No type,No type,"0,99",https://coinmarketcap.com/currencies/fei-usd/
No type,No type,"49,65",https://coinmarketcap.com/currencies/kusama/
No type,No type,"1,66",https://coinmarketcap.com/currencies/kava/
No type,No type,"0,68",https://coinmarketcap.com/currencies/green-metaverse-token/
No type,No type,"0,96",https://coinmarketcap.com/currencies/trust-wallet-token/
No type,No type,"152,56",https://coinmarketcap.com/currencies/gnosis-gno/
No type,No type,"0,04",https://coinmarketcap.com/currencies/nem/
No type,No type,"22,34",https://coinmarketcap.com/currencies/bitcoin-gold/
No type,No type,"0,67",https://coinmarketcap.com/currencies/1inch/
No type,No type,"0,82",https://coinmarketcap.com/currencies/celo/
No type,No type,"0,00",https://coinmarketcap.com/currencies/holo/
No type,No type,"0,05",https://coinmarketcap.com/currencies/gala/
No type,No type,"47,80",https://coinmarketcap.com/currencies/compound/
No type,No type,"0,99",https://coinmarketcap.com/currencies/gemini-dollar/
No type,No type,"9325,73",https://coinmarketcap.com/currencies/yearn-finance/
No type,No type,"5,07",https://coinmarketcap.com/currencies/convex-finance/
No type,No type,"1,42",https://coinmarketcap.com/currencies/celsius/
No type,No type,"0,03",https://coinmarketcap.com/currencies/ankr/
No type,No type,"9,92",https://coinmarketcap.com/currencies/arweave/
No type,No type,"4,19",https://coinmarketcap.com/currencies/gatetoken/
